Price,Close
Ticker,HEROMOTOCO.NS
Date,
2021-03-05,2915.052734375
2021-03-08,2916.947509765625
2021-03-09,2904.23193359375
2021-03-10,2879.390380859375
2021-03-12,2821.454833984375
2021-03-15,2748.698486328125
2021-03-16,2741.03564453125
2021-03-17,2686.720947265625
2021-03-18,2616.532958984375
2021-03-19,2626.595947265625
2021-03-22,2606.975341796875
2021-03-23,2583.059814453125
2021-03-24,2554.765625
2021-03-25,2477.12548828125
2021-03-26,2473.88330078125
2021-03-30,2495.820068359375
2021-03-31,2453.5048828125
2021-04-01,2489.29345703125
2021-04-05,2431.021240234375
2021-04-06,2431.9052734375
2021-04-07,2477.08349609375
2021-04-08,2465.631103515625
2021-04-09,2452.915283203125
2021-04-12,2346.13916015625
2021-04-13,2412.8740234375
2021-04-15,2410.51611328125
2021-04-16,2437.715576171875
2021-04-19,2345.675537109375
2021-04-20,2377.801025390625
2021-04-22,2400.916259765625
2021-04-23,2411.779052734375
2021-04-26,2412.200439453125
2021-04-27,2446.68408203125
2021-04-28,2464.157470703125
2021-04-29,2408.453125
2021-04-30,2373.969482421875
2021-05-03,2352.15966796875
2021-05-04,2338.26513671875
2021-05-05,2347.9072265625
2021-05-06,2453.252197265625
2021-05-07,2409.042724609375
2021-05-10,2388.41162109375
2021-05-11,2390.137939453125
2021-05-12,2391.6533203125
2021-05-14,2368.243408203125
2021-05-17,2403.94775390625
2021-05-18,2447.9052734375
2021-05-19,2454.683837890625
2021-05-20,2412.66357421875
2021-05-21,2428.916015625
2021-05-24,2442.431640625
2021-05-25,2467.06201171875
2021-05-26,2496.53564453125
2021-05-27,2518.934814453125
2021-05-28,2519.1455078125
2021-05-31,2532.576904296875
2021-06-01,2506.682861328125
2021-06-02,2503.188232421875
2021-06-03,2533.29248046875
2021-06-04,2567.01806640625
2021-06-07,2570.26025390625
2021-06-08,2573.3759765625
2021-06-09,2546.050048828125
2021-06-10,2533.84033203125
2021-06-11,2529.924560546875
2021-06-14,2514.1767578125
2021-06-15,2532.1982421875
2021-06-16,2505.5458984375
2021-06-17,2453.92578125
2021-06-18,2434.7685546875
2021-06-21,2437.715576171875
2021-06-22,2447.989013671875
2021-06-23,2465.925537109375
2021-06-24,2447.9052734375
2021-06-25,2475.06201171875
2021-06-28,2478.8095703125
2021-06-29,2465.209716796875
2021-06-30,2444.241943359375
2021-07-01,2460.9990234375
2021-07-02,2458.76806640625
2021-07-05,2474.093994140625
2021-07-06,2458.262451171875
2021-07-07,2453.29443359375
2021-07-08,2442.38916015625
2021-07-09,2439.35791015625
2021-07-12,2440.53662109375
2021-07-13,2445.505126953125
2021-07-14,2442.641845703125
2021-07-15,2429.12646484375
2021-07-16,2446.01025390625
2021-07-19,2431.189453125
2021-07-20,2390.685546875
2021-07-22,2419.88720703125
2021-07-23,2417.11572265625
2021-07-26,2396.013916015625
2021-07-27,2382.031494140625
2021-07-28,2368.26171875
2021-07-29,2340.97900390625
2021-07-30,2355.984375
2021-08-02,2372.098388671875
2021-08-03,2403.559814453125
2021-08-04,2391.964111328125
2021-08-05,2403.3037109375
2021-08-06,2416.0927734375
2021-08-09,2418.22412109375
2021-08-10,2384.759765625
2021-08-11,2371.587158203125
2021-08-12,2372.737548828125
2021-08-13,2363.572265625
2021-08-16,2342.3857421875
2021-08-17,2372.439453125
2021-08-18,2356.239990234375
2021-08-20,2299.88330078125
2021-08-23,2285.474609375
2021-08-24,2281.4248046875
2021-08-25,2279.804931640625
2021-08-26,2257.296142578125
2021-08-27,2279.889892578125
2021-08-30,2324.3955078125
2021-08-31,2337.696044921875
2021-09-01,2336.84375
2021-09-02,2327.891357421875
2021-09-03,2386.8056640625
2021-09-06,2401.939453125
2021-09-07,2385.35595703125
2021-09-08,2385.868408203125
2021-09-09,2384.460693359375
2021-09-13,2378.578125
2021-09-14,2431.35400390625
2021-09-15,2451.1767578125
2021-09-16,2489.927734375
2021-09-17,2499.90283203125
2021-09-20,2463.58251953125
2021-09-21,2430.288330078125
2021-09-22,2427.517578125
2021-09-23,2432.505126953125
2021-09-24,2415.7939453125
2021-09-27,2483.57568359375
2021-09-28,2490.055419921875
2021-09-29,2460.72607421875
2021-09-30,2414.984619140625
2021-10-01,2428.15673828125
2021-10-04,2434.636962890625
2021-10-05,2425.258056640625
2021-10-06,2385.697265625
2021-10-07,2422.78515625
2021-10-08,2423.168701171875
2021-10-11,2436.554931640625
2021-10-12,2486.730224609375
2021-10-13,2494.02001953125
2021-10-14,2496.237060546875
2021-10-18,2476.030029296875
2021-10-19,2452.114990234375
2021-10-20,2400.916015625
2021-10-21,2350.52783203125
2021-10-22,2339.6572265625
2021-10-25,2290.7607421875
2021-10-26,2302.44140625
2021-10-27,2293.616455078125
2021-10-28,2274.518798828125
2021-10-29,2265.43896484375
2021-11-01,2285.559814453125
2021-11-02,2288.62939453125
2021-11-03,2252.09521484375
2021-11-04,2282.83154296875
2021-11-08,2287.435791015625
2021-11-09,2314.24951171875
2021-11-10,2318.043701171875
2021-11-11,2302.7822265625
2021-11-12,2287.5634765625
2021-11-15,2296.260009765625
2021-11-16,2345.412109375
2021-11-17,2344.0908203125
2021-11-18,2289.09814453125
2021-11-22,2246.255126953125
2021-11-23,2244.20849609375
2021-11-24,2234.701904296875
2021-11-25,2212.236328125
2021-11-26,2156.5615234375
2021-11-29,2123.651123046875
2021-11-30,2088.2685546875
2021-12-01,2087.330810546875
2021-12-02,2108.21923828125
2021-12-03,2099.47998046875
2021-12-06,2063.287353515625
2021-12-07,2098.92626953125
2021-12-08,2123.52392578125
2021-12-09,2149.357177734375
2021-12-10,2154.3876953125
2021-12-13,2127.232177734375
2021-12-14,2117.68310546875
2021-12-15,2137.59130859375
2021-12-16,2106.855224609375
2021-12-17,2084.303955078125
2021-12-20,2009.2755126953125
2021-12-21,2001.388671875
2021-12-22,2002.5826416015625
2021-12-23,2040.0115966796875
2021-12-24,2039.7984619140625
2021-12-27,2047.940673828125
2021-12-28,2061.41162109375
2021-12-29,2074.583984375
2021-12-30,2073.433349609375
2021-12-31,2099.18212890625
2022-01-03,2111.54443359375
2022-01-04,2118.62109375
2022-01-05,2136.611083984375
2022-01-06,2128.085205078125
2022-01-07,2130.728271484375
2022-01-10,2198.08349609375
2022-01-11,2189.685302734375
2022-01-12,2208.6552734375
2022-01-13,2211.29833984375
2022-01-14,2190.921142578125
2022-01-17,2303.293701171875
2022-01-18,2295.919189453125
2022-01-19,2301.8447265625
2022-01-20,2310.071533203125
2022-01-21,2344.73046875
2022-01-24,2307.30078125
2022-01-25,2371.970458984375
2022-01-27,2314.803955078125
2022-01-28,2278.27001953125
2022-01-31,2322.7333984375
2022-02-01,2324.822021484375
2022-02-02,2304.06103515625
2022-02-03,2371.501708984375
2022-02-04,2320.558837890625
2022-02-07,2257.722412109375
2022-02-08,2278.09912109375
2022-02-09,2326.612548828125
2022-02-10,2331.08837890625
2022-02-11,2317.873291015625
2022-02-14,2258.106201171875
2022-02-15,2369.07177734375
2022-02-16,2376.0205078125
2022-02-17,2381.68994140625
2022-02-18,2365.150146484375
2022-02-21,2364.539794921875
2022-02-22,2379.921142578125
2022-02-23,2327.3291015625
2022-02-24,2170.25048828125
2022-02-25,2229.509033203125
2022-02-28,2209.50927734375
2022-03-02,2114.390869140625
2022-03-03,2106.63525390625
2022-03-04,2014.1746826171875
2022-03-07,1916.0496826171875
2022-03-08,1962.1929931640625
2022-03-09,1996.048583984375
2022-03-10,2022.4100341796875
2022-03-11,2031.516357421875
2022-03-14,2040.8408203125
2022-03-15,2020.3621826171875
2022-03-16,2064.892822265625
2022-03-17,2108.813720703125
2022-03-21,2084.1083984375
2022-03-22,2112.08154296875
2022-03-23,2086.8095703125
2022-03-24,2102.059814453125
2022-03-25,2072.6484375
2022-03-28,2072.256591796875
2022-03-29,1926.4635009765625
2022-03-30,1979.6219482421875
2022-03-31,1999.22900390625
2022-04-01,1952.1710205078125
2022-04-04,2014.5670166015625
2022-04-05,2032.431396484375
2022-04-06,2045.197998046875
2022-04-07,2048.422607421875
2022-04-08,2058.7490234375
2022-04-11,2035.1766357421875
2022-04-12,2002.497314453125
2022-04-13,1982.0181884765625
2022-04-18,1991.6043701171875
2022-04-19,1972.3017578125
2022-04-20,1982.410400390625
2022-04-21,2019.7080078125
2022-04-22,1999.31640625
2022-04-25,1994.3927001953125
2022-04-26,2097.7900390625
2022-04-27,2178.61669921875
2022-04-28,2193.6923828125
2022-04-29,2184.411376953125
2022-05-02,2167.54931640625
2022-05-04,2099.750732421875
2022-05-05,2180.0546875
2022-05-06,2233.822998046875
2022-05-09,2172.299072265625
2022-05-10,2152.255615234375
2022-05-11,2152.734619140625
2022-05-12,2092.517822265625
2022-05-13,2134.30322265625
2022-05-16,2175.04345703125
2022-05-17,2199.095458984375
2022-05-18,2212.60302734375
2022-05-19,2192.1240234375
2022-05-20,2257.17724609375
2022-05-23,2287.2861328125
2022-05-24,2298.0048828125
2022-05-25,2261.142578125
2022-05-26,2297.525634765625
2022-05-27,2370.16064453125
2022-05-30,2414.38623046875
2022-05-31,2417.3056640625
2022-06-01,2403.101318359375
2022-06-02,2320.749755859375
2022-06-03,2251.600341796875
2022-06-06,2214.1279296875
2022-06-07,2240.358642578125
2022-06-08,2253.517578125
2022-06-09,2264.10595703125
2022-06-10,2267.460693359375
2022-06-13,2264.7158203125
2022-06-14,2228.81201171875
2022-06-15,2270.380126953125
2022-06-16,2195.218017578125
2022-06-17,2150.20751953125
2022-06-20,2137.266357421875
2022-06-21,2177.91943359375
2022-06-22,2199.923828125
2022-06-23,2330.335693359375
2022-06-24,2405.14892578125
2022-06-27,2401.271240234375
2022-06-28,2411.03125
2022-06-29,2398.56982421875
2022-06-30,2370.0732421875
2022-07-01,2408.504150390625
2022-07-04,2405.5849609375
2022-07-05,2385.367431640625
2022-07-06,2467.7626953125
2022-07-07,2474.428955078125
2022-07-08,2483.012939453125
2022-07-11,2499.396240234375
2022-07-12,2505.8447265625
2022-07-13,2477.828125
2022-07-14,2433.776123046875
2022-07-15,2440.093994140625
2022-07-18,2455.69287109375
2022-07-19,2441.096435546875
2022-07-20,2463.36181640625
2022-07-21,2481.705810546875
2022-07-22,2502.4462890625
2022-07-25,2473.906494140625
2022-07-26,2440.704345703125
2022-07-27,2455.530029296875
2022-07-28,2453.89697265625
2022-07-29,2486.857421875
2022-08-01,2506.93408203125
2022-08-02,2445.734619140625
2022-08-03,2472.605712890625
2022-08-04,2477.1064453125
2022-08-05,2445.07275390625
2022-08-08,2416.259765625
2022-08-10,2449.264404296875
2022-08-11,2457.95654296875
2022-08-12,2437.306640625
2022-08-16,2485.93115234375
2022-08-17,2571.045654296875
2022-08-18,2566.41259765625
2022-08-19,2505.03662109375
2022-08-22,2453.76513671875
2022-08-23,2473.92919921875
2022-08-24,2476.532470703125
2022-08-25,2470.752197265625
2022-08-26,2494.53515625
2022-08-29,2494.7998046875
2022-08-30,2504.1982421875
2022-09-01,2538.57080078125
2022-09-02,2493.123046875
2022-09-05,2508.037109375
2022-09-06,2529.65771484375
2022-09-07,2519.244384765625
2022-09-08,2521.49462890625
2022-09-09,2504.860107421875
2022-09-12,2522.0244140625
2022-09-13,2532.7021484375
2022-09-14,2516.376953125
2022-09-15,2462.369140625
2022-09-16,2369.620849609375
2022-09-19,2386.564697265625
2022-09-20,2445.82275390625
2022-09-21,2450.3232421875
2022-09-22,2450.588134765625
2022-09-23,2437.43896484375
2022-09-26,2401.522705078125
2022-09-27,2328.188720703125
2022-09-28,2286.80078125
2022-09-29,2238.220703125
2022-09-30,2249.604248046875
2022-10-03,2228.73388671875
2022-10-04,2313.672119140625
2022-10-06,2335.1162109375
2022-10-07,2316.451904296875
2022-10-10,2268.40087890625
2022-10-11,2248.677734375
2022-10-12,2250.354736328125
2022-10-13,2247.177734375
2022-10-14,2237.8671875
2022-10-17,2253.575439453125
2022-10-18,2260.89990234375
2022-10-19,2242.544921875
2022-10-20,2264.033203125
2022-10-21,2267.827392578125
2022-10-24,2278.461181640625
2022-10-25,2281.726806640625
2022-10-27,2303.920654296875
2022-10-28,2338.42529296875
2022-10-31,2362.25244140625
2022-11-01,2358.987060546875
2022-11-02,2333.21875
2022-11-03,2335.3369140625
2022-11-04,2284.638427734375
2022-11-07,2313.01025390625
2022-11-09,2339.88134765625
2022-11-10,2393.71240234375
2022-11-11,2354.88330078125
2022-11-14,2372.44482421875
2022-11-15,2409.817626953125
